poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,45,NA,2,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,NA,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,87.5,NA,3,NA,NA,NA,NA
NA,NA,70,NA,0,NA,NA,NA,NA
NA,NA,85,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA
NA,NA,65,NA,0,NA,NA,NA,NA
NA,NA,85,NA,9,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,0,NA,NA,NA,NA
NA,NA,67.5,NA,2.5,NA,NA,NA,NA
NA,NA,65,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,50,NA,3,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,NA,NA,1.5,NA,NA,NA,NA
NA,NA,30,NA,0,NA,NA,NA,NA
NA,NA,50,NA,7,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,85,NA,4.5,NA,NA,NA,NA
NA,NA,3,NA,0,NA,NA,NA,NA
NA,NA,60,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,55,NA,2.5,NA,NA,NA,NA
NA,NA,77.5,NA,4,NA,NA,NA,NA
NA,NA,85,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,1,NA,NA,NA,NA
NA,NA,85,NA,4.5,NA,NA,NA,NA
NA,NA,0,NA,0.5,NA,NA,NA,NA
NA,NA,100,NA,4.5,NA,NA,NA,NA
NA,NA,85,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA
NA,NA,100,NA,5.5,NA,NA,NA,NA
NA,NA,70,NA,2,NA,NA,NA,NA
NA,NA,0,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,22.5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,92.5,NA,4,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,100,NA,9,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,85,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,15,NA,2,NA,NA,NA,NA
NA,NA,40,NA,2,NA,NA,NA,NA
NA,NA,25,NA,0,NA,NA,NA,NA
NA,NA,100,NA,9.5,NA,NA,NA,NA
NA,NA,37.5,NA,2,NA,NA,NA,NA
NA,NA,77.5,NA,0,NA,NA,NA,NA
NA,NA,60,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,67.5,NA,0,NA,NA,NA,NA
NA,NA,77.5,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,15,NA,2,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,67.5,NA,1.5,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA
NA,NA,70,NA,2.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,50,NA,4,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,92.5,NA,0,NA,NA,NA,NA
NA,NA,72.5,NA,0,NA,NA,NA,NA
NA,NA,100,NA,3,NA,NA,NA,NA
NA,NA,70,NA,1.5,NA,NA,NA,NA
NA,NA,55,NA,0.5,NA,NA,NA,NA
NA,NA,40,NA,0,NA,NA,NA,NA
NA,NA,65,NA,4,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,15,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,5,NA,NA,NA,NA
NA,NA,52.5,NA,2,NA,NA,NA,NA
NA,NA,70,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,2.5,NA,NA,NA,NA
NA,NA,75,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,3,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,77.5,NA,2.5,NA,NA,NA,NA
NA,NA,65,NA,0,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,40,NA,2,NA,NA,NA,NA
NA,NA,45,NA,2.5,NA,NA,NA,NA
NA,NA,15,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,60,NA,2.5,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,55,NA,0,NA,NA,NA,NA
NA,NA,67.5,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,85,NA,5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,70,NA,2.5,NA,NA,NA,NA
NA,NA,90,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,3.5,NA,NA,NA,NA
NA,NA,67.5,NA,3.5,NA,NA,NA,NA
NA,NA,7.5,NA,0.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,20,NA,0,NA,NA,NA,NA
NA,NA,0,NA,2,NA,NA,NA,NA
NA,NA,90,NA,2,NA,NA,NA,NA
NA,NA,40,NA,5,NA,NA,NA,NA
NA,NA,100,NA,5.5,NA,NA,NA,NA
NA,NA,100,NA,3.5,NA,NA,NA,NA
3,0,92.5,5,4.5,78,1,1,NA
4,3,42.5,4,2,57,1,1,NA
2,5,92.5,NA,6.5,63,1,1,3
2,3,62.5,NA,0,54,2,1,3
6,2,50,NA,1.5,51,2,1,3
6,7,22.5,1,0,34,2,1,NA
4,4,85,4,0,25,2,1,NA
4,5,75,5,0,32,2,1,3
6,0,67.5,NA,2,63,1,1,3
4,3,40,5,0,49,2,1,3
1,0,92.5,5,2,57,2,1,NA
6,5,30,NA,0,69,1,1,3
5,0,72.5,4,2,63,2,1,3
6,3,50,4,0.5,53,1,1,NA
2,0,77.5,NA,4.5,61,2,1,3
4,2,50,NA,2,54,2,1,3
2,2,90,NA,2.5,39,1,1,3
4,7,62.5,NA,0,53,2,1,3
3,7,50,5,0,71,2,1,NA
6,7,55,NA,0,35,2,1,3
4,0,0,4,0,33,2,1,3
5,5,50,NA,2.5,64,1,1,3
2,0,60,5,6,38,1,1,3
4,3,100,NA,2.5,24,2,2,1
6,4,55,NA,0,32,2,1,NA
4,8,62.5,3,4,52,2,2,NA
4,5,50,2,0,69,2,1,NA
4,6,72.5,NA,0,33,2,2,NA
7,4,15,2,2,29,1,2,1
5,5,72.5,4,0,58,2,2,3
4,5,50,1,0,40,1,2,3
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,85,NA,6,NA,NA,NA,NA
NA,NA,25,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,95,NA,0,NA,NA,NA,NA
NA,NA,20,NA,0,NA,NA,NA,NA
NA,NA,77.5,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,92.5,NA,1.5,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,97.5,NA,2,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,85,NA,4,NA,NA,NA,NA
