age,sex,race,sexori,relig_attend,equal_mar,poli,lgbt_close,lgbt_feel
NA,NA,NA,NA,NA,NA,NA,2,40
NA,NA,NA,NA,NA,NA,NA,2.5,45
NA,NA,NA,NA,NA,NA,NA,0,15
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,60
NA,NA,NA,NA,NA,NA,NA,2,85
NA,NA,NA,NA,NA,NA,NA,0,55
NA,NA,NA,NA,NA,NA,NA,2.5,67.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,5,85
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,70
NA,NA,NA,NA,NA,NA,NA,0,90
NA,NA,NA,NA,NA,NA,NA,3.5,NA
NA,NA,NA,NA,NA,NA,NA,3.5,67.5
NA,NA,NA,NA,NA,NA,NA,0.5,7.5
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,20
NA,NA,NA,NA,NA,NA,NA,2,0
NA,NA,NA,NA,NA,NA,NA,2,90
NA,NA,NA,NA,NA,NA,NA,5,40
NA,NA,NA,NA,NA,NA,NA,5.5,100
NA,NA,NA,NA,NA,NA,NA,3.5,100
78,1,1,NA,0,5,3,4.5,92.5
57,1,1,NA,3,4,4,2,42.5
63,1,1,3,5,NA,2,6.5,92.5
54,2,1,3,3,NA,2,0,62.5
51,2,1,3,2,NA,6,1.5,50
34,2,1,NA,7,1,6,0,22.5
25,2,1,NA,4,4,4,0,85
32,2,1,3,5,5,4,0,75
63,1,1,3,0,NA,6,2,67.5
49,2,1,3,3,5,4,0,40
57,2,1,NA,0,5,1,2,92.5
69,1,1,3,5,NA,6,0,30
63,2,1,3,0,4,5,2,72.5
53,1,1,NA,3,4,6,0.5,50
61,2,1,3,0,NA,2,4.5,77.5
54,2,1,3,2,NA,4,2,50
39,1,1,3,2,NA,2,2.5,90
53,2,1,3,7,NA,4,0,62.5
71,2,1,NA,7,5,3,0,50
35,2,1,3,7,NA,6,0,55
33,2,1,3,0,4,4,0,0
64,1,1,3,5,NA,5,2.5,50
38,1,1,3,0,5,2,6,60
24,2,2,1,3,NA,4,2.5,100
32,2,1,NA,4,NA,6,0,55
52,2,2,NA,8,3,4,4,62.5
69,2,1,NA,5,2,4,0,50
33,2,2,NA,6,NA,4,0,72.5
29,1,2,1,4,2,7,2,15
58,2,2,3,5,4,5,0,72.5
40,1,2,3,5,1,4,0,50
NA,NA,NA,NA,NA,NA,NA,5,100
NA,NA,NA,NA,NA,NA,NA,6,85
NA,NA,NA,NA,NA,NA,NA,0,25
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,0,95
NA,NA,NA,NA,NA,NA,NA,0,20
NA,NA,NA,NA,NA,NA,NA,0,77.5
NA,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,1.5,92.5
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,2,97.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,4,85
NA,NA,NA,NA,NA,NA,NA,5.5,55
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,85
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,1.5,90
NA,NA,NA,NA,NA,NA,NA,7.5,100
NA,NA,NA,NA,NA,NA,NA,0,27.5
